"","time","pH"
"1",2024-10-03 15:00:00,5.627
"2",2024-10-03 16:00:00,5.62278627327171
"3",2024-10-03 17:00:00,5.62
"4",2024-10-03 18:00:00,5.621
"5",2024-10-03 19:00:00,5.6182322464009
"6",2024-10-03 20:00:00,5.613
"7",2024-10-03 21:00:00,5.609
"8",2024-10-03 22:00:00,5.605
"9",2024-10-03 23:00:00,5.608
"10",2024-10-04,5.608
"11",2024-10-04 01:00:00,5.612
"12",2024-10-04 02:00:00,5.612
"13",2024-10-04 03:00:00,5.611
"14",2024-10-04 04:00:00,5.611
"15",2024-10-04 05:00:00,5.6126133199958
"16",2024-10-04 06:00:00,5.612
"17",2024-10-04 07:00:00,5.612
"18",2024-10-04 08:00:00,5.612
"19",2024-10-04 09:00:00,5.608
"20",2024-10-04 10:00:00,5.612
"21",2024-10-04 11:00:00,5.60964307075517
"22",2024-10-04 12:00:00,5.613
"23",2024-10-04 13:00:00,5.613
"24",2024-10-04 14:00:00,5.61467098712183
"25",2024-10-04 15:00:00,5.617
"26",2024-10-04 16:00:00,5.10168933781491
"27",2024-10-04 17:00:00,4.501
"28",2024-10-04 18:00:00,4.3213020936859
"29",2024-10-04 19:00:00,8.13129253620205
"30",2024-10-04 20:00:00,8.129
"31",2024-10-04 21:00:00,8.13037668070033
"32",2024-10-04 22:00:00,8.133
"33",2024-10-04 23:00:00,8.137
"34",2024-10-05,8.142
"35",2024-10-05 01:00:00,8.147
"36",2024-10-05 02:00:00,8.15142612169046
"37",2024-10-05 03:00:00,8.147
"38",2024-10-05 04:00:00,8.156
"39",2024-10-05 05:00:00,8.17542777107103
"40",2024-10-05 06:00:00,8.1894363928689
"41",2024-10-05 07:00:00,8.191
"42",2024-10-05 08:00:00,8.184
"43",2024-10-05 09:00:00,8.173
"44",2024-10-05 10:00:00,8.163
"45",2024-10-05 11:00:00,8.16484073624307
"46",2024-10-05 12:00:00,8.176
"47",2024-10-05 13:00:00,8.159
"48",2024-10-05 14:00:00,8.16886340977846
"49",2024-10-05 15:00:00,8.159
"50",2024-10-05 16:00:00,8.171
"51",2024-10-05 17:00:00,8.174
"52",2024-10-05 18:00:00,8.146
"53",2024-10-05 19:00:00,8.146
"54",2024-10-05 20:00:00,8.151
"55",2024-10-05 21:00:00,8.151
"56",2024-10-05 22:00:00,8.152
"57",2024-10-05 23:00:00,8.149
"58",2024-10-06,8.122
"59",2024-10-06 01:00:00,8.11393538708443
"60",2024-10-06 02:00:00,8.116
"61",2024-10-06 03:00:00,8.122
"62",2024-10-06 04:00:00,8.14705261052363
"63",2024-10-06 05:00:00,8.149
"64",2024-10-06 06:00:00,8.14958111625679
"65",2024-10-06 07:00:00,8.152
"66",2024-10-06 08:00:00,8.14898404782444
"67",2024-10-06 09:00:00,8.15001120452856
"68",2024-10-06 10:00:00,8.147
"69",2024-10-06 11:00:00,8.14990102057199
"70",2024-10-06 12:00:00,8.148
"71",2024-10-06 13:00:00,8.133
"72",2024-10-06 14:00:00,8.12221532094521
"73",2024-10-06 15:00:00,8.129
"74",2024-10-06 16:00:00,8.133
"75",2024-10-06 17:00:00,8.13505622484576
"76",2024-10-06 18:00:00,8.114
"77",2024-10-06 19:00:00,8.109
"78",2024-10-06 20:00:00,8.11
"79",2024-10-06 21:00:00,8.114
"80",2024-10-06 22:00:00,8.118
"81",2024-10-06 23:00:00,8.129
"82",2024-10-07,8.125
"83",2024-10-07 01:00:00,8.129
"84",2024-10-07 02:00:00,8.121
"85",2024-10-07 03:00:00,8.109
"86",2024-10-07 04:00:00,8.11470499703424
"87",2024-10-07 05:00:00,8.117
"88",2024-10-07 06:00:00,8.11914698847246
"89",2024-10-07 07:00:00,8.11985400879876
"90",2024-10-07 08:00:00,8.1282715852363
"91",2024-10-07 09:00:00,8.125
"92",2024-10-07 10:00:00,8.12217195021663
"93",2024-10-07 11:00:00,8.078
"94",2024-10-07 12:00:00,8.065
"95",2024-10-07 13:00:00,8.066
"96",2024-10-07 14:00:00,8.098
"97",2024-10-07 15:00:00,8.066
"98",2024-10-07 16:00:00,8.075
"99",2024-10-07 17:00:00,8.115
"100",2024-10-07 18:00:00,8.121
"101",2024-10-07 19:00:00,8.121
"102",2024-10-07 20:00:00,8.12376755343051
"103",2024-10-07 21:00:00,8.131
"104",2024-10-07 22:00:00,8.144
"105",2024-10-07 23:00:00,8.144
"106",2024-10-08,8.147
"107",2024-10-08 01:00:00,8.134
"108",2024-10-08 02:00:00,8.134
"109",2024-10-08 03:00:00,8.134
"110",2024-10-08 04:00:00,8.141
"111",2024-10-08 05:00:00,8.13084036809655
"112",2024-10-08 06:00:00,8.13031546311628
"113",2024-10-08 07:00:00,8.13285157028853
"114",2024-10-08 08:00:00,8.0731492299018
"115",2024-10-08 09:00:00,8.043
"116",2024-10-08 10:00:00,8.051
"117",2024-10-08 11:00:00,8.00565853166017
"118",2024-10-08 12:00:00,8.053
"119",2024-10-08 13:00:00,8.049
"120",2024-10-08 14:00:00,8.028
"121",2024-10-08 15:00:00,8.047
"122",2024-10-08 16:00:00,8.084
"123",2024-10-08 17:00:00,8.075
"124",2024-10-08 18:00:00,8.11008950423816
"125",2024-10-08 19:00:00,8.132
"126",2024-10-08 20:00:00,8.14192758551699
"127",2024-10-08 21:00:00,8.13959151834621
"128",2024-10-08 22:00:00,8.158
"129",2024-10-08 23:00:00,8.128
"130",2024-10-09,8.133
"131",2024-10-09 01:00:00,8.13955783814165
"132",2024-10-09 02:00:00,8.142
"133",2024-10-09 03:00:00,8.125
"134",2024-10-09 04:00:00,8.09152200875909
"135",2024-10-09 05:00:00,8.084
"136",2024-10-09 06:00:00,8.092
"137",2024-10-09 07:00:00,8.10151354615122
"138",2024-10-09 08:00:00,8.14400720283626
"139",2024-10-09 09:00:00,8.15
"140",2024-10-09 10:00:00,8.141
"141",2024-10-09 11:00:00,8.136
"142",2024-10-09 12:00:00,8.151
"143",2024-10-09 13:00:00,8.073
"144",2024-10-09 14:00:00,8.069
"145",2024-10-09 15:00:00,8.112
"146",2024-10-09 16:00:00,8.092
"147",2024-10-09 17:00:00,8.116
"148",2024-10-09 18:00:00,8.099
"149",2024-10-09 19:00:00,8.143
"150",2024-10-09 20:00:00,8.143
"151",2024-10-09 21:00:00,8.138
"152",2024-10-09 22:00:00,8.133
"153",2024-10-09 23:00:00,8.13540517765916
"154",2024-10-10,8.14
"155",2024-10-10 01:00:00,8.14261052208615
"156",2024-10-10 02:00:00,8.155
"157",2024-10-10 03:00:00,8.129
"158",2024-10-10 04:00:00,8.12663942014797
"159",2024-10-10 05:00:00,8.115
"160",2024-10-10 06:00:00,8.132
"161",2024-10-10 07:00:00,8.124
"162",2024-10-10 08:00:00,8.1
"163",2024-10-10 09:00:00,8.108
"164",2024-10-10 10:00:00,8.109672085175
"165",2024-10-10 11:00:00,8.107
"166",2024-10-10 12:00:00,8.09184596919254
"167",2024-10-10 13:00:00,8.107
"168",2024-10-10 14:00:00,8.107
"169",2024-10-10 15:00:00,8.095
"170",2024-10-10 16:00:00,8.10771222160038
"171",2024-10-10 17:00:00,8.11
"172",2024-10-10 18:00:00,8.1
"173",2024-10-10 19:00:00,8.13
"174",2024-10-10 20:00:00,8.12624563516473
"175",2024-10-10 21:00:00,8.128
"176",2024-10-10 22:00:00,8.12575235802576
"177",2024-10-10 23:00:00,8.101
"178",2024-10-11,8.092
"179",2024-10-11 01:00:00,8.087
"180",2024-10-11 02:00:00,8.083
"181",2024-10-11 03:00:00,8.103
"182",2024-10-11 04:00:00,8.122
"183",2024-10-11 05:00:00,8.121
"184",2024-10-11 06:00:00,8.117
"185",2024-10-11 07:00:00,8.11
"186",2024-10-11 08:00:00,8.113
"187",2024-10-11 09:00:00,8.109
"188",2024-10-11 10:00:00,8.10416243249914
"189",2024-10-11 11:00:00,8.11127992046394
"190",2024-10-11 12:00:00,8.11
"191",2024-10-11 13:00:00,8.109
"192",2024-10-11 14:00:00,8.113
"193",2024-10-11 15:00:00,8.118
"194",2024-10-11 16:00:00,8.12612242443314
"195",2024-10-11 17:00:00,8.129
"196",2024-10-11 18:00:00,8.12
"197",2024-10-11 19:00:00,8.11409441895452
"198",2024-10-11 20:00:00,8.12732901297325
"199",2024-10-11 21:00:00,8.132
"200",2024-10-11 22:00:00,8.132
"201",2024-10-11 23:00:00,8.132
"202",2024-10-12,8.132
"203",2024-10-12 01:00:00,8.132
"204",2024-10-12 02:00:00,8.132
"205",2024-10-12 03:00:00,8.132
"206",2024-10-12 04:00:00,8.1313764752835
"207",2024-10-12 05:00:00,8.129
"208",2024-10-12 06:00:00,8.13061232252506
"209",2024-10-12 07:00:00,8.133
"210",2024-10-12 08:00:00,8.133
"211",2024-10-12 09:00:00,8.132
"212",2024-10-12 10:00:00,8.132
"213",2024-10-12 11:00:00,8.128
"214",2024-10-12 12:00:00,8.089
"215",2024-10-12 13:00:00,8.084
"216",2024-10-12 14:00:00,8.132
"217",2024-10-12 15:00:00,8.13504761900061
"218",2024-10-12 16:00:00,8.132
"219",2024-10-12 17:00:00,8.133
"220",2024-10-12 18:00:00,8.128
"221",2024-10-12 19:00:00,8.132
"222",2024-10-12 20:00:00,8.137
"223",2024-10-12 21:00:00,8.137
"224",2024-10-12 22:00:00,8.13013265096721
"225",2024-10-12 23:00:00,8.127
"226",2024-10-13,8.12337078652922
"227",2024-10-13 01:00:00,8.129
"228",2024-10-13 02:00:00,8.13
"229",2024-10-13 03:00:00,8.125
"230",2024-10-13 04:00:00,8.12416363278751
"231",2024-10-13 05:00:00,8.058
"232",2024-10-13 06:00:00,8.038
"233",2024-10-13 07:00:00,8.011
"234",2024-10-13 08:00:00,8.12
"235",2024-10-13 09:00:00,8.129
"236",2024-10-13 10:00:00,8.13
"237",2024-10-13 11:00:00,8.139
"238",2024-10-13 12:00:00,8.14
"239",2024-10-13 13:00:00,8.136
"240",2024-10-13 14:00:00,8.141
"241",2024-10-13 15:00:00,8.14076063407093
"242",2024-10-13 16:00:00,8.144
"243",2024-10-13 17:00:00,8.144
"244",2024-10-13 18:00:00,8.145
"245",2024-10-13 19:00:00,8.14538683783054
"246",2024-10-13 20:00:00,8.152
"247",2024-10-13 21:00:00,8.153
"248",2024-10-13 22:00:00,8.16870545752282
"249",2024-10-13 23:00:00,8.149
"250",2024-10-14,8.149
"251",2024-10-14 01:00:00,8.157
"252",2024-10-14 02:00:00,8.18
"253",2024-10-14 03:00:00,8.186
"254",2024-10-14 04:00:00,8.186
"255",2024-10-14 05:00:00,8.165
"256",2024-10-14 06:00:00,8.157
"257",2024-10-14 07:00:00,8.157
"258",2024-10-14 08:00:00,8.157
"259",2024-10-14 09:00:00,8.145
"260",2024-10-14 10:00:00,8.145
"261",2024-10-14 11:00:00,8.146
"262",2024-10-14 12:00:00,8.14262132429285
"263",2024-10-14 13:00:00,8.149
"264",2024-10-14 14:00:00,8.184
"265",2024-10-14 15:00:00,8.184
"266",2024-10-14 16:00:00,8.184
"267",2024-10-14 17:00:00,8.184
"268",2024-10-14 18:00:00,8.195
"269",2024-10-14 19:00:00,8.196
"270",2024-10-14 20:00:00,8.189
"271",2024-10-14 21:00:00,8.177
"272",2024-10-14 22:00:00,8.172
"273",2024-10-14 23:00:00,8.176
"274",2024-10-15,8.196
"275",2024-10-15 01:00:00,8.183
"276",2024-10-15 02:00:00,8.176
"277",2024-10-15 03:00:00,8.145
"278",2024-10-15 04:00:00,8.149
"279",2024-10-15 05:00:00,8.13652670531283
"280",2024-10-15 06:00:00,8.136
"281",2024-10-15 07:00:00,8.145
"282",2024-10-15 08:00:00,8.145
"283",2024-10-15 09:00:00,8.139
"284",2024-10-15 10:00:00,8.14556411801849
"285",2024-10-15 11:00:00,8.139
"286",2024-10-15 12:00:00,8.139
"287",2024-10-15 13:00:00,8.143
"288",2024-10-15 14:00:00,8.146
"289",2024-10-15 15:00:00,8.145
"290",2024-10-15 16:00:00,8.142
"291",2024-10-15 17:00:00,8.147
"292",2024-10-15 18:00:00,8.147
"293",2024-10-15 19:00:00,8.147
"294",2024-10-15 20:00:00,8.14562044820499
"295",2024-10-15 21:00:00,8.147
"296",2024-10-15 22:00:00,8.147
"297",2024-10-15 23:00:00,8.147
"298",2024-10-16,8.147
"299",2024-10-16 01:00:00,8.147
"300",2024-10-16 02:00:00,8.147
"301",2024-10-16 03:00:00,8.155
"302",2024-10-16 04:00:00,8.155
"303",2024-10-16 05:00:00,8.155
"304",2024-10-16 06:00:00,8.155
"305",2024-10-16 07:00:00,8.15470274057373
"306",2024-10-16 08:00:00,8.175
"307",2024-10-16 09:00:00,8.204
"308",2024-10-16 10:00:00,8.20271958522585
"309",2024-10-16 11:00:00,8.197
"310",2024-10-16 12:00:00,8.202
"311",2024-10-16 13:00:00,8.205
"312",2024-10-16 14:00:00,8.201
"313",2024-10-16 15:00:00,8.198
"314",2024-10-16 16:00:00,8.198
"315",2024-10-16 17:00:00,8.207
"316",2024-10-16 18:00:00,8.211
"317",2024-10-16 19:00:00,8.206
"318",2024-10-16 20:00:00,8.20621335990247
"319",2024-10-16 21:00:00,8.209
"320",2024-10-16 22:00:00,8.208
"321",2024-10-16 23:00:00,8.20494160151543
"322",2024-10-17,8.201
"323",2024-10-17 01:00:00,8.205
"324",2024-10-17 02:00:00,8.203
"325",2024-10-17 03:00:00,8.178
"326",2024-10-17 04:00:00,8.16
"327",2024-10-17 05:00:00,8.151
"328",2024-10-17 06:00:00,8.147
"329",2024-10-17 07:00:00,8.14189270041616
"330",2024-10-17 08:00:00,8.149
"331",2024-10-17 09:00:00,8.152
"332",2024-10-17 10:00:00,8.161
"333",2024-10-17 11:00:00,8.158
"334",2024-10-17 12:00:00,8.147
"335",2024-10-17 13:00:00,8.151
"336",2024-10-17 14:00:00,8.155
"337",2024-10-17 15:00:00,8.152
"338",2024-10-17 16:00:00,8.155
"339",2024-10-17 17:00:00,8.156
"340",2024-10-17 18:00:00,8.155
"341",2024-10-17 19:00:00,8.162
"342",2024-10-17 20:00:00,8.16519084893668
"343",2024-10-17 21:00:00,8.162
"344",2024-10-17 22:00:00,8.164
"345",2024-10-17 23:00:00,8.15281216250465
"346",2024-10-18,8.161
"347",2024-10-18 01:00:00,8.161
"348",2024-10-18 02:00:00,8.161
"349",2024-10-18 03:00:00,8.161
"350",2024-10-18 04:00:00,8.159
"351",2024-10-18 05:00:00,8.163
"352",2024-10-18 06:00:00,8.168
"353",2024-10-18 07:00:00,8.168
"354",2024-10-18 08:00:00,8.167
"355",2024-10-18 09:00:00,8.163
"356",2024-10-18 10:00:00,8.163
"357",2024-10-18 11:00:00,8.151
"358",2024-10-18 12:00:00,8.156
"359",2024-10-18 13:00:00,8.147
"360",2024-10-18 14:00:00,8.143
"361",2024-10-18 15:00:00,8.16
"362",2024-10-18 16:00:00,8.1642974594853
"363",2024-10-18 17:00:00,8.16813623588821
"364",2024-10-18 18:00:00,8.149
"365",2024-10-18 19:00:00,8.154
"366",2024-10-18 20:00:00,8.15385089307924
"367",2024-10-18 21:00:00,8.157
"368",2024-10-18 22:00:00,8.147
"369",2024-10-18 23:00:00,8.118
"370",2024-10-19,8.117
"371",2024-10-19 01:00:00,8.113
"372",2024-10-19 02:00:00,8.113
"373",2024-10-19 03:00:00,8.143
"374",2024-10-19 04:00:00,8.129
"375",2024-10-19 05:00:00,8.137
"376",2024-10-19 06:00:00,8.145
"377",2024-10-19 07:00:00,8.148
"378",2024-10-19 08:00:00,8.1096097220027
"379",2024-10-19 09:00:00,8.117
"380",2024-10-19 10:00:00,8.134
"381",2024-10-19 11:00:00,8.147
"382",2024-10-19 12:00:00,8.142
"383",2024-10-19 13:00:00,8.119
"384",2024-10-19 14:00:00,8.147
"385",2024-10-19 15:00:00,8.15
"386",2024-10-19 16:00:00,8.15
"387",2024-10-19 17:00:00,8.152
"388",2024-10-19 18:00:00,8.151
"389",2024-10-19 19:00:00,8.156
"390",2024-10-19 20:00:00,8.15368013608412
"391",2024-10-19 21:00:00,8.154
"392",2024-10-19 22:00:00,8.124
"393",2024-10-19 23:00:00,8.147
"394",2024-10-20,8.143
"395",2024-10-20 01:00:00,8.142
"396",2024-10-20 02:00:00,8.14135593227752
"397",2024-10-20 03:00:00,8.14
"398",2024-10-20 04:00:00,8.12
"399",2024-10-20 05:00:00,8.148
"400",2024-10-20 06:00:00,8.1543848141816
"401",2024-10-20 07:00:00,8.154
"402",2024-10-20 08:00:00,8.15160331075632
"403",2024-10-20 09:00:00,8.14
"404",2024-10-20 10:00:00,8.14
"405",2024-10-20 11:00:00,8.12811625123833
"406",2024-10-20 12:00:00,8.137
"407",2024-10-20 13:00:00,8.148
"408",2024-10-20 14:00:00,8.144
"409",2024-10-20 15:00:00,8.156
"410",2024-10-20 16:00:00,8.158
"411",2024-10-20 17:00:00,8.165
"412",2024-10-20 18:00:00,8.186
"413",2024-10-20 19:00:00,8.185
"414",2024-10-20 20:00:00,8.198
