Mission / Project,,,,,,,,,,,,,
503468_1,5152,8.073,0.017,4.165,0.042,4/19/2024 5:26,503468_1.tod,2.017 2.018 2.018,0.005 0.002 0.009,145.021,0,0,
503471_1,5045,6.164,0.008,2.951,0.002,4/19/2024 12:16,503471_1.tod,2.017 2.018 2.018,0.005 0.002 0.009,134.563,0,0,
503475_1,1,3.772,0.01,1.914,0.002,4/19/2024 12:25,503475_1.tod,2.017 2.018 2.018,0.005 0.002 0.009,142.109,0,0,
503484_1,183,8.024,0.008,4.069,0.002,4/19/2024 12:32,503484_1.tod,2.017 2.018 2.018,0.005 0.002 0.009,142.579,0,0,
503484_2,141,8.032,0.007,3.914,0.013,4/19/2024 12:39,503484_2.tod,2.017 2.018 2.018,0.005 0.002 0.009,137.06,0,0,Titration problem or stopped by hand. Titrant volume and oxygen concentration recalculated on 2024-04-19 12:45:07.
503008_1,138,8.684,0.008,4.278,0.004,4/19/2024 12:47,503008_1.tod,2.017 2.018 2.018,0.005 0.002 0.009,138.598,0,0,
503487_1,5113,6.071,0.008,3.068,0.002,4/19/2024 14:22,503487_1.tod,2.017 2.018 2.018,0.005 0.002 0.009,141.935,0,0,
503494_1,5,7.423,0.008,3.706,0.003,4/19/2024 14:57,503494_1.tod,2.017 2.018 2.018,0.005 0.002 0.009,140.354,0,0,
503494_2,5058,7.437,0.008,3.735,0.006,4/19/2024 15:18,503494_2.tod,2.017 2.018 2.018,0.005 0.002 0.009,141.152,0,0,
503496`_1,5066,5.632,0.009,2.663,0.002,4/19/2024 15:25,503496`_1.tod,2.017 2.018 2.018,0.005 0.002 0.009,132.839,0,0,
503496_1,5090,5.629,0.009,2.79,0.004,4/19/2024 15:31,503496_1.tod,2.017 2.018 2.018,0.005 0.002 0.009,139.196,0,0,
503503_1,5072,7.419,0.008,3.499,0.004,4/19/2024 15:39,503503_1.tod,2.017 2.018 2.018,0.005 0.002 0.009,132.668,0,0,
503506_1,5152,4.766,0.009,2.465,0.003,4/19/2024 17:00,503506_1.tod,2.017 2.018 2.018,0.005 0.002 0.009,145.021,0,0,
503517_1,141,7.425,0.008,3.619,0.002,4/19/2024 17:14,503517_1.tod,2.017 2.018 2.018,0.005 0.002 0.009,137.06,0,0,
503517_2,5045,7.426,0.008,3.552,0.004,4/19/2024 17:22,503517_2.tod,2.017 2.018 2.018,0.005 0.002 0.009,134.563,0,0,
503519_1,5115,4.503,0.009,2.307,0.002,4/20/2024 5:39,503519_1.tod,2.017 2.018 2.018,0.005 0.002 0.009,143.66,0,0,
503519_2,5113,4.487,0.01,2.272,0.004,4/20/2024 6:06,503519_2.tod,2.017 2.018 2.018,0.005 0.002 0.009,141.935,0,0,
503530_1,138,8.753,0.007,4.312,0.003,4/20/2024 6:13,503530_1.tod,2.017 2.018 2.018,0.005 0.002 0.009,138.598,0,0,
503533_1,183,4.394,0.011,2.235,0.005,4/20/2024 6:21,503533_1.tod,2.017 2.018 2.018,0.005 0.002 0.009,142.579,0,0,
503544_1,5090,9.058,0.008,4.482,0.004,4/20/2024 6:29,503544_1.tod,2.017 2.018 2.018,0.005 0.002 0.009,139.196,0,0,
503544_2,5058,9.067,0.007,4.55,0.002,4/20/2024 6:37,503544_2.tod,2.017 2.018 2.018,0.005 0.002 0.009,141.152,0,0,
503546_1,5072,4.369,0.011,2.066,0.004,4/20/2024 6:44,503546_1.tod,2.017 2.018 2.018,0.005 0.002 0.009,132.668,0,0,
503546_2,5066,4.367,0.011,2.068,0.004,4/20/2024 6:50,503546_2.tod,2.017 2.018 2.018,0.005 0.002 0.009,132.839,0,0,
503557_1,5134,8.765,0.008,4.358,0.005,4/20/2024 6:57,503557_1.tod,2.017 2.018 2.018,0.005 0.002 0.009,139.879,0,0,
503560_1,5032,4.525,0.01,2.274,0.004,4/20/2024 7:05,503560_1.tod,2.017 2.018 2.018,0.005 0.002 0.009,140.911,0,0,
503571_1,5188,8.4,0.008,4.14,0.004,4/20/2024 7:12,503571_1.tod,2.017 2.018 2.018,0.005 0.002 0.009,138.618,0,0,
503571_2,5018,8.425,0.008,4.161,0.006,4/20/2024 8:09,503571_2.tod,2.017 2.018 2.018,0.005 0.002 0.009,138.916,0,0,
503573_1,5055,4.612,0.01,2.288,0.004,4/20/2024 8:47,503573_1.tod,2.017 2.018 2.018,0.005 0.002 0.009,139.13,0,0,
503573_2,5156,4.616,0.01,2.223,0.004,4/20/2024 8:54,503573_2.tod,2.017 2.018 2.018,0.005 0.002 0.009,135.136,0,0,
503584_1,131,8.76,0.008,4.264,0.004,4/20/2024 9:00,503584_1.tod,2.017 2.018 2.018,0.005 0.002 0.009,136.956,0,0,
503587_1,114,4.24,0.011,2.13,0.005,4/20/2024 9:08,503587_1.tod,2.017 2.018 2.018,0.005 0.002 0.009,140.84,0,0,
503598_1,5027,9.349,0.008,4.708,0.005,4/20/2024 9:15,503598_1.tod,2.017 2.018 2.018,0.005 0.002 0.009,141.663,0,0,
503598_2,5004,8.91,0.008,4.516,0.005,4/20/2024 9:23,503598_2.tod,2.017 2.018 2.018,0.005 0.002 0.009,142.553,0,0,
503601_1,5158,6.916,0.008,3.485,0.003,4/20/2024 9:30,503601_1.tod,2.017 2.018 2.018,0.005 0.002 0.009,141.607,0,0,
503601_2,5025,6.92,0.009,3.601,0.007,4/20/2024 9:37,503601_2.tod,2.017 2.018 2.018,0.005 0.002 0.009,146.16,0,0,
503608_1,5015,8.497,0.009,4.122,0.008,4/20/2024 9:45,503608_1.tod,2.017 2.018 2.018,0.005 0.002 0.009,136.492,0,0,
503009_1,5025,8.254,0.007,4.292,0.003,4/20/2024 14:28,503009_1.tod,2.017 2.018 2.018,0.005 0.002 0.009,146.16,0,0,
503010_1,5025,7.871,0.007,4.08,0.007,4/21/2024 14:56,503010_1.tod,2.011 2.009 2.013,0.004 0.006 0.005,146.16,0,0,
503611_1,5,5.994,0.007,2.985,0.001,4/21/2024 21:38,503611_1.tod,2.011 2.009 2.013,0.004 0.006 0.005,140.354,0,0,
503613_1,5045,5.926,0.007,2.829,0.003,4/21/2024 21:45,503613_1.tod,2.011 2.009 2.013,0.004 0.006 0.005,134.563,0,0,
503621_1,5032,8.204,0.006,4.098,0.004,4/21/2024 21:52,503621_1.tod,2.011 2.009 2.013,0.004 0.006 0.005,140.911,0,0,
503621_2,5072,8.189,0.006,3.848,0.003,4/21/2024 21:59,503621_2.tod,2.011 2.009 2.013,0.004 0.006 0.005,132.668,0,0,
503624_1,114,5.775,0.007,2.887,0.004,4/21/2024 22:05,503624_1.tod,2.011 2.009 2.013,0.004 0.006 0.005,140.84,0,0,
503624_2,121,5.582,0.008,2.808,0.004,4/21/2024 22:11,503624_2.tod,2.011 2.009 2.013,0.004 0.006 0.005,141.666,0,0,
503625_1,5055,5.904,0.007,2.915,0.003,4/21/2024 22:17,503625_1.tod,2.011 2.009 2.013,0.004 0.006 0.005,139.13,0,0,
503633_1,5156,8.168,0.006,3.91,0.002,4/21/2024 22:23,503633_1.tod,2.011 2.009 2.013,0.004 0.006 0.005,135.136,0,0,
503636_1,5058,6.061,0.006,3.036,0.001,4/22/2024 0:48,503636_1.tod,2.011 2.009 2.013,0.004 0.006 0.005,141.152,0,0,
503636_2,5018,6.043,0.006,2.979,0.002,4/22/2024 0:56,503636_2.tod,2.011 2.009 2.013,0.004 0.006 0.005,138.916,0,0,
503639_1,5090,5.706,0.007,2.819,0.003,4/22/2024 1:04,503639_1.tod,2.011 2.009 2.013,0.004 0.006 0.005,139.196,0,0,
503647_1,183,8.087,0.007,4.088,0.005,4/22/2024 1:13,503647_1.tod,2.011 2.009 2.013,0.004 0.006 0.005,142.579,0,0,
503650_1,138,6.156,0.007,3.027,0.002,4/22/2024 5:02,503650_1.tod,2.011 2.009 2.013,0.004 0.006 0.005,138.598,0,0,
503650_2,5115,6.141,0.006,3.131,0.001,4/22/2024 5:08,503650_2.tod,2.011 2.009 2.013,0.004 0.006 0.005,143.66,0,0,
503653_1,5113,5.522,0.007,2.783,0.003,4/22/2024 5:13,503653_1.tod,2.011 2.009 2.013,0.004 0.006 0.005,141.935,0,0,
503661_1,5066,2.901,0.01,1.373,0.003,4/22/2024 5:40,503661_1.tod,2.011 2.009 2.013,0.004 0.006 0.005,132.839,1.1,0,needs to be re calculated T1=2.4; T2=1.373
503664_1,5134,6.188,0.007,3.071,0.002,4/22/2024 13:16,503664_1.tod,2.011 2.009 2.013,0.004 0.006 0.005,139.879,0,0,
503667_1,5152,5.74,0.007,2.956,0.003,4/22/2024 13:24,503667_1.tod,2.011 2.009 2.013,0.004 0.006 0.005,145.021,0,0,
503675_1,141,8.283,0.007,4.023,0.007,4/22/2024 13:31,503675_1.tod,2.011 2.009 2.013,0.004 0.006 0.005,137.06,0,0,
503675_2,5188,8.293,0.006,4.074,0.002,4/22/2024 13:40,503675_2.tod,2.011 2.009 2.013,0.004 0.006 0.005,138.618,0,0,
503011_1,5066,8.254,0.006,3.883,0.003,4/22/2024 13:47,503011_1.tod,2.011 2.009 2.013,0.004 0.006 0.005,132.839,0,0,
503678_1,5,8.034,0.006,3.997,0.002,4/22/2024 23:46,503678_1.tod,2.011 2.009 2.013,0.004 0.006 0.005,140.354,0,0,
503680_1,5045,8.073,0.006,3.848,0.003,4/22/2024 23:57,503680_1.tod,2.011 2.009 2.013,0.004 0.006 0.005,134.563,0,0,
503680_2,5032,8.084,0.006,4.038,0.003,4/23/2024 0:06,503680_2.tod,2.011 2.009 2.013,0.004 0.006 0.005,140.911,0,0,
503683_1,5025,7.851,0.006,4.07,0.004,4/23/2024 0:21,503683_1.tod,2.011 2.009 2.013,0.004 0.006 0.005,146.16,0,0,
503683_2,5004,7.858,0.007,3.972,0.005,4/23/2024 0:28,503683_2.tod,2.011 2.009 2.013,0.004 0.006 0.005,142.553,0,0,
503687_1,5027,8.443,0.006,4.24,0.002,4/23/2024 0:36,503687_1.tod,2.011 2.009 2.013,0.004 0.006 0.005,141.663,0,0,
503690_1,5015,7.745,0.007,3.746,0.005,4/23/2024 0:42,503690_1.tod,2.011 2.009 2.013,0.004 0.006 0.005,136.492,0,0,
503696_1,5156,8.068,0.007,3.863,0.004,4/23/2024 4:36,503696_1.tod,2.011 2.009 2.013,0.004 0.006 0.005,135.136,0,0,
503696_2,131,8.076,0.006,3.919,0.003,4/23/2024 4:44,503696_2.tod,2.011 2.009 2.013,0.004 0.006 0.005,136.956,0,0,
503699_1,183,3.964,0.009,2.011,0.004,4/23/2024 4:54,503699_1.tod,2.011 2.009 2.013,0.004 0.006 0.005,142.579,0,0,
503699_2,5090,3.954,0.009,1.958,0.004,4/23/2024 5:02,503699_2.tod,2.011 2.009 2.013,0.004 0.006 0.005,139.196,0,0,
503708_1,5115,8.079,0.006,4.115,0.002,4/23/2024 5:09,503708_1.tod,2.011 2.009 2.013,0.004 0.006 0.005,143.66,0,0,
503711_1,5113,5.535,0.007,2.789,0.003,4/23/2024 5:16,503711_1.tod,2.011 2.009 2.013,0.004 0.006 0.005,141.935,0,0,
503720_1,5188,8.189,0.006,4.023,0.004,4/23/2024 5:23,503720_1.tod,2.011 2.009 2.013,0.004 0.006 0.005,138.618,0,0,
503720_2,5152,8.178,0.006,4.206,0.003,4/23/2024 5:30,503720_2.tod,2.011 2.009 2.013,0.004 0.006 0.005,145.021,0,0,
503723_1,5066,5.423,0.008,2.556,0.005,4/23/2024 5:38,503723_1.tod,2.011 2.009 2.013,0.004 0.006 0.005,132.839,0,0,
503723_2,5134,5.423,0.007,2.693,0.002,4/23/2024 5:46,503723_2.tod,2.011 2.009 2.013,0.004 0.006 0.005,139.879,0,0,
503732_1,5058,8.125,0.006,4.065,0.002,4/23/2024 5:54,503732_1.tod,2.011 2.009 2.013,0.004 0.006 0.005,141.152,0,0,
503735_1,5018,5.745,0.007,2.833,0.002,4/23/2024 7:46,503735_1.tod,2.011 2.009 2.013,0.004 0.006 0.005,138.916,0,0,
503736_1,138,5.241,0.007,2.579,0.002,4/23/2024 7:55,503736_1.tod,2.011 2.009 2.013,0.004 0.006 0.005,138.598,0,0,
503744_1,141,8.309,0.006,4.035,0.003,4/23/2024 8:02,503744_1.tod,2.011 2.009 2.013,0.004 0.006 0.005,137.06,0,0,
503744_2,114,8.309,0.006,4.148,0.004,4/23/2024 8:10,503744_2.tod,2.011 2.009 2.013,0.004 0.006 0.005,140.84,0,0,
503747_1,5055,5.504,0.007,2.718,0.004,4/23/2024 11:19,503747_1.tod,2.011 2.009 2.013,0.004 0.006 0.005,139.13,0,0,
503747_2,5072,5.501,0.007,2.589,0.003,4/23/2024 11:26,503747_2.tod,2.011 2.009 2.013,0.004 0.006 0.005,132.668,0,0,
503748_1,5158,4.018,0.009,2.024,0.005,4/23/2024 12:36,503748_1.tod,2.011 2.009 2.013,0.004 0.006 0.005,141.607,0,0,
503756_1,5058,8.067,0.007,4.036,0.005,4/23/2024 13:22,503756_1.tod,2.011 2.009 2.013,0.004 0.006 0.005,141.152,0,0,
503759_1,114,5.334,0.007,2.668,0.003,4/23/2024 14:45,503759_1.tod,2.011 2.009 2.013,0.004 0.006 0.005,140.84,0,0,
503767_1,141,8.797,0.006,4.271,0.002,4/23/2024 15:09,503767_1.tod,2.011 2.009 2.013,0.004 0.006 0.005,137.06,0,0,
503767_2,5018,8.794,0.006,4.328,0.005,4/23/2024 15:17,503767_2.tod,2.011 2.009 2.013,0.004 0.006 0.005,138.916,0,0,
503770_1,5188,7.906,0.006,3.885,0.004,4/23/2024 15:25,503770_1.tod,2.011 2.009 2.013,0.004 0.006 0.005,138.618,0,0,
503770_2,5066,7.907,0.006,3.72,0.004,4/23/2024 15:33,503770_2.tod,2.011 2.009 2.013,0.004 0.006 0.005,132.839,0,0,
503777_1,5113,8.51,0.006,4.282,0.003,4/23/2024 15:41,503777_1.tod,2.011 2.009 2.013,0.004 0.006 0.005,141.935,0,0,
503012_1,5,8.428,0.006,4.192,0.003,4/23/2024 15:48,503012_1.tod,2.011 2.009 2.013,0.004 0.006 0.005,140.354,0,0,
503013_1,114,7.42,0.007,3.706,0.006,4/24/2024 14:33,503013_1.tod,2.011 2.009 2.013,0.004 0.006 0.005,140.84,0,0,
503014_1,5058,7.64,0.008,3.824,0.003,4/27/2024 17:14,503014_1.tod,2.015 2.007 2.010,0.006 0.006 0.001,141.152,0,0,
503783_1,131,5.232,0.009,2.544,0.002,4/28/2024 4:30,503783_1.tod,2.015 2.007 2.010,0.006 0.006 0.001,136.956,0,0,
503792_1,138,7.462,0.007,3.666,0.001,4/28/2024 4:37,503792_1.tod,2.015 2.007 2.010,0.006 0.006 0.001,138.598,0,0,
503792_2,5115,7.462,0.007,3.802,0.002,4/28/2024 4:44,503792_2.tod,2.015 2.007 2.010,0.006 0.006 0.001,143.66,0,0,
503795_1,5156,5.961,0.008,2.858,0.003,4/28/2024 4:52,503795_1.tod,2.015 2.007 2.010,0.006 0.006 0.001,135.136,0,0,
503797_1,5152,4.882,0.009,2.516,0.004,4/28/2024 5:01,503797_1.tod,2.015 2.007 2.010,0.006 0.006 0.001,145.021,0,0,
503806_1,5090,8.017,0.007,3.955,0.001,4/28/2024 5:10,503806_1.tod,2.015 2.007 2.010,0.006 0.006 0.001,139.196,0,0,
503806_2,183,8.004,0.008,4.046,0.003,4/28/2024 5:19,503806_2.tod,2.015 2.007 2.010,0.006 0.006 0.001,142.579,0,0,
503809_1,5015,7.881,0.008,3.812,0.003,4/28/2024 8:07,503809_1.tod,2.015 2.007 2.010,0.006 0.006 0.001,136.492,0,0,
503809_2,5045,7.882,0.008,3.758,0.003,4/28/2024 8:14,503809_2.tod,2.015 2.007 2.010,0.006 0.006 0.001,134.563,0,0,
503814_1,5032,7.919,0.008,3.956,0.003,4/28/2024 8:22,503814_1.tod,2.015 2.007 2.010,0.006 0.006 0.001,140.911,0,0,
503817_1,5027,6.671,0.008,3.352,0.003,4/28/2024 12:19,503817_1.tod,2.015 2.007 2.010,0.006 0.006 0.001,141.663,0,0,
503825_1,5004,7.877,0.008,3.981,0.003,4/28/2024 12:31,503825_1.tod,2.015 2.007 2.010,0.006 0.006 0.001,142.553,0,0,
503825_2,5025,7.878,0.008,4.084,0.004,4/28/2024 12:39,503825_2.tod,2.015 2.007 2.010,0.006 0.006 0.001,146.16,0,0,
503015_1,5115,7.912,0.007,4.03,0.003,4/28/2024 12:47,503015_1.tod,2.015 2.007 2.010,0.006 0.006 0.001,143.66,0,0,
503828_1,5090,6.68,0.008,3.298,0.003,4/28/2024 15:45,503828_1.tod,2.015 2.007 2.010,0.006 0.006 0.001,139.196,0,0,
503828_2,5152,6.682,0.008,3.439,0.004,4/28/2024 15:53,503828_2.tod,2.015 2.007 2.010,0.006 0.006 0.001,145.021,0,0,
503835_1,5156,7.915,0.007,3.79,0.002,4/28/2024 16:02,503835_1.tod,2.015 2.007 2.010,0.006 0.006 0.001,135.136,0,0,
503838_1,131,6.401,0.008,3.109,0.002,4/28/2024 23:21,503838_1.tod,2.015 2.007 2.010,0.006 0.006 0.001,136.956,0,0,
503846_1,183,8.285,0.008,4.188,0.002,4/28/2024 23:29,503846_1.tod,2.015 2.007 2.010,0.006 0.006 0.001,142.579,0,0,
503846_2,138,8.141,0.008,3.999,0.004,4/28/2024 23:37,503846_2.tod,2.015 2.007 2.010,0.006 0.006 0.001,138.598,0,0,
503849_1,5027,6.497,0.009,3.265,0.005,4/28/2024 23:45,503849_1.tod,2.015 2.007 2.010,0.006 0.006 0.001,141.663,0,0,
503849_2,5004,6.208,0.008,3.141,0.003,4/28/2024 23:52,503849_2.tod,2.015 2.007 2.010,0.006 0.006 0.001,142.553,0,0,
503857_1,5090,8.202,0.008,4.046,0.004,4/29/2024 0:10,503857_1.tod,2.015 2.007 2.010,0.006 0.006 0.001,139.196,0,0,
503860_1,5045,7.729,0.008,3.685,0.003,4/29/2024 0:20,503860_1.tod,2.015 2.007 2.010,0.006 0.006 0.001,134.563,0,0,
503867_1,5032,8.344,0.007,4.167,0.001,4/29/2024 0:30,503867_1.tod,2.015 2.007 2.010,0.006 0.006 0.001,140.911,0,0,
503867_2,5015,8.332,0.007,4.029,0.002,4/29/2024 0:40,503867_2.tod,2.015 2.007 2.010,0.006 0.006 0.001,136.492,0,0,
503870_1,5018,3.788,0.01,1.872,0.002,4/29/2024 11:43,503870_1.tod,2.015 2.007 2.010,0.006 0.006 0.001,138.916,0,0,
503870_2,5134,3.761,0.01,1.872,0.003,4/29/2024 11:49,503870_2.tod,2.015 2.007 2.010,0.006 0.006 0.001,139.879,0,0,
503880_1,5066,8.014,0.008,3.771,0.003,4/29/2024 12:50,503880_1.tod,2.015 2.007 2.010,0.006 0.006 0.001,132.839,0,0,
503885_1,5058,3.133,0.012,1.576,0.004,4/29/2024 13:05,503885_1.tod,2.015 2.007 2.010,0.006 0.006 0.001,141.152,0,0,
503883_1,5055,4.103,0.01,2.03,0.003,4/29/2024 13:14,503883_1.tod,2.015 2.007 2.010,0.006 0.006 0.001,139.13,0,0,
503895_1,5113,8.051,0.008,4.051,0.003,4/29/2024 13:48,503895_1.tod,2.015 2.007 2.010,0.006 0.006 0.001,141.935,0,0,
503895_2,5,8.066,0.008,4.013,0.002,4/29/2024 14:58,503895_2.tod,2.015 2.007 2.010,0.006 0.006 0.001,140.354,0,0,
503016_1,5058,8.127,0.008,4.066,0.006,4/29/2024 15:06,503016_1.tod,2.015 2.007 2.010,0.006 0.006 0.001,141.152,0,0,
503898_1,5158,4,0.011,2.015,0.006,4/29/2024 16:39,503898_1.tod,2.015 2.007 2.010,0.006 0.006 0.001,141.607,0,0,
503898_2,114,3.966,0.01,1.987,0.003,4/29/2024 16:47,503898_2.tod,2.015 2.007 2.010,0.006 0.006 0.001,140.84,0,0,
503900_1,5072,2.812,0.014,1.33,0.005,4/29/2024 16:54,503900_1.tod,2.015 2.007 2.010,0.006 0.006 0.001,132.668,0.8,0,
503910_1,5188,8.084,0.008,3.971,0.004,4/29/2024 17:00,503910_1.tod,2.015 2.007 2.010,0.006 0.006 0.001,138.618,0,0,
503913_1,141,3.137,0.011,1.532,0.002,4/29/2024 23:59,503913_1.tod,2.015 2.007 2.010,0.006 0.006 0.001,137.06,0,0,
503914_1,5090,2.766,0.011,1.373,0.002,4/30/2024 0:06,503914_1.tod,2.015 2.007 2.010,0.006 0.006 0.001,139.196,1,0,
503924_1,5045,8.318,0.008,3.965,0.004,4/30/2024 0:14,503924_1.tod,2.015 2.007 2.010,0.006 0.006 0.001,134.563,0,0,
503924_2,5032,8.308,0.007,4.15,0.003,4/30/2024 0:23,503924_2.tod,2.015 2.007 2.010,0.006 0.006 0.001,140.911,0,0,
503927_1,138,3.436,0.01,1.695,0.002,4/30/2024 0:33,503927_1.tod,2.015 2.007 2.010,0.006 0.006 0.001,138.598,0,0,
503927_2,5015,3.414,0.01,1.658,0.002,4/30/2024 0:40,503927_2.tod,2.015 2.007 2.010,0.006 0.006 0.001,136.492,0,0,
503936_1,5027,8.781,0.007,4.409,0.002,4/30/2024 0:48,503936_1.tod,2.015 2.007 2.010,0.006 0.006 0.001,141.663,0,0,
503939_1,5025,6.448,0.008,3.345,0.002,4/30/2024 0:58,503939_1.tod,2.015 2.007 2.010,0.006 0.006 0.001,146.16,0,0,
503945_1,5156,8.322,0.007,3.984,0.002,4/30/2024 1:07,503945_1.tod,2.015 2.007 2.010,0.006 0.006 0.001,135.136,0,0,
503945_2,5152,8.322,0.007,4.279,0.002,4/30/2024 1:15,503945_2.tod,2.015 2.007 2.010,0.006 0.006 0.001,145.021,0,0,
503017_1,5158,NaN,NaN,NaN,NaN,4/30/2024 12:57,503017_1.tod,2.015 2.007 2.010,0.006 0.006 0.001,141.607,NaN,NaN,Titration problem or stopped by hand.
503017_2,5158,7.831,0.007,3.932,0.002,4/30/2024 12:58,503017_2.tod,2.015 2.007 2.010,0.006 0.006 0.001,141.607,0,0,
503949_1,5070,5.197,0.009,2.676,0.003,5/1/2024 2:40,503949_1.tod,2.015 2.007 2.010,0.006 0.006 0.001,144.924,0,0,
503949_2,5096,5.179,0.008,2.575,0.001,5/1/2024 2:49,503949_2.tod,2.015 2.007 2.010,0.006 0.006 0.001,140.034,0,0,
503957_1,5113,7.794,0.008,3.922,0.004,5/1/2024 2:58,503957_1.tod,2.015 2.007 2.010,0.006 0.006 0.001,141.935,0,0,
