ShipsName=Teleost,,,,,,,,,,
05#7,503455,4/20/2024 17:49,24C,0.998647153,1.97E-06,-1.11E-05,0.998636067,34.94632339,7.59E-05,NA
05#8,503459,4/20/2024 17:55,24C,1.002664208,2.29E-06,-1.10E-05,1.002653241,35.10446167,9.14E-05,NA
05#9,503468,4/20/2024 18:02,24C,0.934213817,1.68E-06,-1.11E-05,0.934202731,32.42555237,6.43E-05,NA
05#10,503471,4/20/2024 18:10,24C,0.99848032,8.85E-07,-1.10E-05,0.998469293,34.9397583,3.42E-05,NA
05#11,503475,4/20/2024 18:20,24C,1.000587344,1.48E-06,-1.10E-05,1.000576377,35.02268982,5.81E-05,NA
05#12,503484,4/20/2024 18:27,24C,0.934129715,1.38E-06,-1.10E-05,0.934118688,32.42228317,5.34E-05,NA
05#13,503487,4/20/2024 18:33,24C,0.937700748,1.95E-06,-1.11E-05,0.937689602,32.56121063,7.59E-05,NA
05#14,503494,4/20/2024 18:39,24C,0.91740346,6.11E-07,-1.10E-05,0.917392492,31.77275085,2.43E-05,NA
05#15,503494,4/20/2024 18:45,24C,0.917424023,2.32E-06,-1.10E-05,0.917413056,31.77355003,8.98E-05,NA
05#16,503519,4/20/2024 19:32,24C,0.996996105,2.17E-06,-1.10E-05,0.996985137,34.8813591,8.49E-05,NA
05#17,503496,4/20/2024 19:38,24C,0.946157038,2.40E-06,-1.10E-05,0.946146011,32.89056778,9.42E-05,NA
05#18,503503,4/20/2024 19:43,24C,0.917817771,1.45E-06,-1.10E-05,0.917806804,31.78881836,5.67E-05,NA
05#19,503506,4/20/2024 19:49,24C,0.994084597,7.73E-07,-1.10E-05,0.994073629,34.76685715,3.06E-05,NA
05#20,503517,4/20/2024 19:56,24C,0.918625653,1.40E-06,-1.10E-05,0.918614626,31.82014465,5.25E-05,NA
05#21,503530,4/20/2024 20:02,24C,0.910739958,1.59E-06,-1.10E-05,0.910728931,31.51454735,6.08E-05,NA
05#22,503533,4/20/2024 20:08,24C,0.998044491,2.62E-06,-1.10E-05,0.998033524,34.92260742,0.000102938,NA
05#23,503544,4/20/2024 20:12,24C,0.907372653,1.65E-06,-1.10E-05,0.907361686,31.38418388,6.36E-05,NA
05#24,503546,4/20/2024 20:53,24C,0.9983446,1.45E-06,-1.11E-05,0.998333454,34.93441772,5.76E-05,NA
05#25,503557,4/20/2024 20:59,24C,0.910101235,1.71E-06,-1.11E-05,0.910090148,31.48980713,6.54E-05,NA
05#26,503560,4/20/2024 21:09,24C,0.997860849,1.61E-06,-1.11E-05,0.997849762,34.9153862,6.25E-05,NA
05#27,503560,4/20/2024 21:14,24C,0.997874677,2.04E-06,-1.11E-05,0.997863591,34.91592789,7.94E-05,NA
05#28,503571,4/20/2024 21:23,24C,0.912619412,2.23E-06,-1.10E-05,0.912608385,31.58733559,8.67E-05,NA
05#29,503573,4/20/2024 21:28,24C,0.996849537,2.50E-06,-1.10E-05,0.99683857,34.87559509,9.91E-05,NA
06#1,503009,4/22/2024 16:59,24C,0.907573402,1.64E-06,0,0.907573402,31.39237404,6.43E-05,NA
06#2,503584,4/22/2024 17:06,24C,0.909006357,1.93E-06,0,0.909006357,31.44784164,7.35E-05,NA
06#3,503587,4/22/2024 17:14,24C,0.997490346,1.57E-06,0,0.997490346,34.9012413,6.12E-05,NA
06#4,503598,4/22/2024 17:22,24C,0.904859364,1.45E-06,0,0.904859364,31.28736305,5.67E-05,NA
06#5,503601,4/22/2024 17:28,24C,0.932204902,2.23E-06,0,0.932204902,32.34786606,8.60E-05,NA
06#6,503608,4/22/2024 17:33,24C,0.91049242,1.64E-06,0,0.91049242,31.50538445,6.36E-05,NA
06#7,503611,4/22/2024 17:42,24C,0.995634139,2.04E-06,0,0.995634139,34.82822418,8.01E-05,NA
06#8,503613,4/22/2024 17:49,24C,0.980215073,2.26E-06,0,0.980215073,34.22264481,8.82E-05,NA
06#9,503621,4/22/2024 17:54,24C,0.925912082,1.48E-06,0,0.925912082,32.10334778,5.60E-05,NA
06#10,503621,4/22/2024 17:56,24C,0.92590183,2.07E-06,0,0.92590183,32.10294724,7.97E-05,NA
06#11,503624,4/22/2024 18:01,24C,0.99141854,2.50E-06,0,0.99141854,34.66249466,9.78E-05,NA
06#12,503624,4/22/2024 18:04,24C,0.991419792,2.22E-06,0,0.991419792,34.66254425,8.65E-05,NA
06#13,503625,4/22/2024 18:09,24C,0.979849815,2.05E-06,0,0.979849815,34.20832443,8.05E-05,NA
06#14,503625,4/22/2024 18:12,24C,0.979875386,2.53E-06,0,0.979875386,34.20933151,9.98E-05,NA
06#15,503633,4/22/2024 18:17,24C,0.928403556,8.15E-07,0,0.928403556,32.20012283,3.06E-05,NA
06#16,503636,4/22/2024 18:21,24C,0.997603238,6.37E-08,0,0.997603238,34.90568542,1.36E-06,NA
06#17,503639,4/22/2024 18:27,24C,0.981718361,1.17E-06,0,0.981718361,34.28161621,4.50E-05,NA
06#18,503647,4/22/2024 18:33,24C,0.927781105,1.48E-06,0,0.927781105,32.17593765,5.65E-05,NA
06#19,503650,4/22/2024 18:38,24C,0.998187363,1.38E-06,0,0.998187363,34.92866898,5.40E-05,NA
06#20,503653,4/22/2024 18:42,24C,0.982962787,1.45E-06,0,0.982962787,34.33044052,5.72E-05,NA
06#21,503661,4/22/2024 18:46,24C,0.928661168,1.66E-06,0,0.928661168,32.21012878,6.43E-05,NA
06#22,503664,4/22/2024 18:51,24C,0.998254836,5.91E-07,0,0.998254836,34.93132019,2.34E-05,NA
06#23,503667,4/22/2024 18:56,24C,0.982355595,2.58E-06,0,0.982355595,34.30661392,0.000102019,NA
06#24,503675,4/22/2024 19:02,24C,0.928182304,6.37E-08,0,0.928182304,32.19152832,1.36E-06,NA
06#25,503010,4/22/2024 19:08,24C,0.91490835,1.46E-06,0,0.91490835,31.67646027,5.72E-05,NA
06#26,503011,4/22/2024 19:15,24C,0.927227795,1.95E-06,0,0.927227795,32.15444565,7.59E-05,NA
07#1,503678,4/24/2024 13:42,24C,0.923988521,2.31E-06,9.06E-06,0.923997581,32.02900696,9.05E-05,NA
07#2,503680,4/24/2024 13:47,24C,0.918746948,3.33E-06,9.00E-06,0.918755949,31.82562256,0.000128319,NA
07#3,503680,4/24/2024 13:51,24C,0.918907881,8.15E-07,9.00E-06,0.918916881,31.83186913,3.17E-05,NA
07#4,503683,4/24/2024 13:55,24C,0.93231231,4.25E-08,9.00E-06,0.93232131,32.35239029,2.72E-06,NA
07#5,503683,4/24/2024 13:58,24C,0.932343483,6.11E-07,9.00E-06,0.932352483,32.35359573,2.43E-05,NA
07#6,503687,4/24/2024 14:05,24C,0.923784912,1.86E-06,8.94E-06,0.923793852,32.02110291,7.34E-05,NA
07#7,503690,4/24/2024 14:11,24C,0.935776532,6.33E-07,9.06E-06,0.935785592,32.48712158,2.29E-05,NA
07#8,503696,4/24/2024 15:24,24C,0.923277557,1.21E-06,8.94E-06,0.923286498,32.00140762,4.65E-05,NA
07#9,503699,4/24/2024 15:29,24C,0.997684002,1.33E-06,9.00E-06,0.997693002,34.90921402,4.99E-05,NA
07#10,503708,4/24/2024 15:35,24C,0.923306644,1.34E-06,9.06E-06,0.923315704,32.00253677,5.24E-05,NA
07#11,503711,4/24/2024 15:44,24C,0.994431078,2.57E-06,9.06E-06,0.994440138,34.78127289,0.000100199,NA
07#12,503720,4/24/2024 15:52,24C,0.927306473,4.71E-07,9.06E-06,0.927315533,32.15785217,1.93E-05,NA
07#13,503723,4/24/2024 15:57,24C,0.994567335,2.13E-06,9.06E-06,0.994576395,34.78662872,8.37E-05,NA
07#14,503732,4/24/2024 16:04,24C,0.927381694,2.22E-06,8.94E-06,0.927390635,32.16077042,8.82E-05,NA
07#15,503735,4/24/2024 16:10,24C,0.99573493,2.07E-06,8.88E-06,0.995743811,34.83254242,8.23E-05,NA
07#16,503736,4/24/2024 16:17,24C,0.987349331,2.23E-06,9.00E-06,0.987358332,34.50298691,8.65E-05,NA
07#17,503744,4/24/2024 16:22,24C,0.928350687,1.37E-06,9.00E-06,0.928359687,32.19841766,5.37E-05,NA
07#18,503747,4/24/2024 16:28,24C,0.995286942,1.82E-06,8.88E-06,0.995295823,34.81492233,7.29E-05,NA
07#19,503756,4/24/2024 16:34,24C,0.92880249,2.31E-06,9.06E-06,0.92881155,32.2159729,9.01E-05,NA
07#20,503759,4/24/2024 16:41,24C,0.987849653,1.06E-06,9.06E-06,0.987858713,34.5226326,4.14E-05,NA
07#21,503767,4/24/2024 16:46,24C,0.928411603,2.26E-06,9.06E-06,0.928420663,32.20078659,8.78E-05,NA
07#22,503770,4/24/2024 16:58,24C,0.932738781,1.38E-06,8.88E-06,0.932747662,32.36897278,5.34E-05,NA
07#23,503777,4/24/2024 17:03,24C,0.92955333,1.77E-06,9.06E-06,0.92956239,32.24515152,6.97E-05,NA
07#24,503012,4/24/2024 17:10,24C,0.929138184,1.95E-06,9.00E-06,0.929147184,32.22901535,7.60E-05,NA
07#25,503012,4/24/2024 17:13,24C,0.929172516,1.56E-06,9.00E-06,0.929181516,32.23035049,6.14E-05,NA
07#26,503013,4/24/2024 17:20,24C,0.914822161,1.80E-06,8.94E-06,0.914831102,31.67346764,6.89E-05,NA
08#1,503783,4/30/2024 16:21,24C,0.989892721,2.10E-06,-1.97E-06,0.989890754,34.60245514,8.31E-05,NA
08#2,503792,4/30/2024 16:27,24C,0.946234763,2.24E-06,-1.97E-06,0.946232796,32.89395523,8.88E-05,NA
08#3,503795,4/30/2024 16:32,24C,0.99751538,1.79E-06,-2.09E-06,0.997513294,34.90214539,6.99E-05,NA
08#4,503797,4/30/2024 16:38,24C,0.990453422,1.95E-06,-1.91E-06,0.990451515,34.62448883,7.60E-05,NA
08#5,503806,4/30/2024 16:44,24C,0.929505646,1.41E-06,-1.97E-06,0.929503679,32.24287033,5.30E-05,NA
08#6,503809,4/30/2024 16:52,24C,0.927103043,1.18E-06,-1.97E-06,0.927101076,32.14952087,4.59E-05,NA
08#7,503814,4/30/2024 16:57,24C,0.925950706,1.20E-06,-2.09E-06,0.92594862,32.10476303,4.68E-05,NA
08#8,503817,4/30/2024 17:03,24C,0.941754997,2.41E-06,-1.91E-06,0.941753089,32.71940613,9.43E-05,NA
08#9,503825,4/30/2024 17:16,24C,0.903218567,1.36E-06,-2.03E-06,0.903216541,31.22381592,5.31E-05,NA
08#10,503828,4/30/2024 17:24,24C,0.927781582,7.73E-07,-1.91E-06,0.927779675,32.17588043,3.00E-05,NA
08#11,503835,4/30/2024 17:30,24C,0.895244956,1.36E-06,-1.97E-06,0.895242989,30.91568565,5.32E-05,NA
08#12,503838,4/30/2024 17:38,24C,0.939891338,2.23E-06,-2.09E-06,0.939889252,32.64683151,8.55E-05,NA
08#13,503846,4/30/2024 17:43,24C,0.882098258,1.18E-06,-2.03E-06,0.882096231,30.40864563,4.57E-05,NA
08#14,503849,4/30/2024 17:48,24C,0.94257164,2.14E-06,-2.09E-06,0.942569554,32.75121689,8.30E-05,NA
08#15,503857,4/30/2024 17:52,24C,0.880355179,2.38E-06,-1.97E-06,0.880353212,30.34151268,9.19E-05,NA
08#16,503857,4/30/2024 17:56,24C,0.880347192,2.29E-06,-2.03E-06,0.880345166,30.34120369,9.02E-05,NA
08#17,503860,4/30/2024 18:03,24C,0.901760817,1.39E-06,-2.21E-06,0.901758611,31.16744995,5.32E-05,NA
08#18,503867,4/30/2024 18:09,24C,0.871771634,1.91E-06,-2.03E-06,0.871769607,30.01123619,7.34E-05,NA
08#19,503870,4/30/2024 18:14,24C,0.988563776,2.07E-06,-1.91E-06,0.988561869,34.55025101,7.94E-05,NA
08#20,503880,4/30/2024 18:19,24C,0.906503141,1.67E-06,-2.03E-06,0.906501114,31.35087776,6.40E-05,NA
08#21,503880,4/30/2024 18:22,24C,0.90652585,1.50E-06,-1.97E-06,0.906523883,31.35176086,5.67E-05,NA
08#22,503883,4/30/2024 18:29,24C,0.997989178,2.54E-06,-1.91E-06,0.99798727,34.92079163,0.000100164,NA
08#23,503885,4/30/2024 18:35,24C,0.990860879,2.14E-06,-2.15E-06,0.990858734,34.64049911,8.36E-05,NA
08#24,503895,4/30/2024 18:41,24C,0.892653644,2.40E-06,-1.91E-06,0.892651737,30.81564903,9.18E-05,NA
08#25,503898,4/30/2024 18:46,24C,0.998119891,1.45E-06,-1.97E-06,0.998117924,34.92593384,5.76E-05,NA
08#26,503900,4/30/2024 18:53,24C,0.988794863,1.94E-06,-1.97E-06,0.988792896,34.55932236,7.42E-05,NA
08#27,503910,4/30/2024 18:59,24C,0.895489395,2.31E-06,-2.09E-06,0.895487309,30.92512512,8.89E-05,NA
08#28,503910,4/30/2024 19:03,24C,0.895558536,2.17E-06,-2.09E-06,0.89555645,30.92779541,8.30E-05,NA
08#29,503913,4/30/2024 19:13,24C,0.997924685,1.75E-06,-2.03E-06,0.997922659,34.91825104,6.93E-05,NA
08#30,503914,4/30/2024 19:21,24C,0.989227772,1.50E-06,-2.09E-06,0.989225686,34.57632828,5.90E-05,NA
08#31,503924,4/30/2024 19:28,24C,0.883137882,2.13E-06,-2.03E-06,0.883135855,30.44869423,8.22E-05,NA
08#32,503927,4/30/2024 19:33,24C,0.977483273,8.15E-07,-1.97E-06,0.977481306,34.11545181,3.00E-05,NA
08#33,503936,4/30/2024 19:39,24C,0.865104496,1.46E-06,-2.03E-06,0.86510247,29.75506592,5.71E-05,NA
08#34,503939,4/30/2024 19:44,24C,0.924605668,2.12E-08,-2.03E-06,0.924603641,32.05253983,0,NA
08#35,503945,4/30/2024 19:49,24C,0.864503682,2.23E-06,-2.03E-06,0.864501655,29.73199463,8.57E-05,NA
08#36,503014,4/30/2024 19:56,24C,0.946050584,1.46E-06,-2.09E-06,0.946048498,32.88676834,5.65E-05,NA
08#37,503015,4/30/2024 20:03,24C,0.899073601,2.19E-06,-2.03E-06,0.899071574,31.06358719,8.51E-05,NA
08#38,503015,4/30/2024 20:06,24C,0.899052441,1.20E-06,-2.03E-06,0.899050415,31.06276703,4.59E-05,NA
08#39,503016,4/30/2024 20:11,24C,0.895876408,1.06E-06,-2.15E-06,0.895874262,30.94007301,4.23E-05,NA
08#40,503017,4/30/2024 20:17,24C,0.898598671,1.48E-06,-2.09E-06,0.898596585,31.04522896,5.65E-05,NA
09#1,503957,5/1/2024 10:34,24C,0.891388297,1.59E-06,-1.00E-05,0.891378284,30.76651001,6.18E-05,NA
09#2,503949,5/1/2024 10:40,24C,0.963787854,1.24E-06,-1.00E-05,0.96377784,33.57893753,4.79E-05,NA
